genres,popularity,title,vote_average
"Crime, Mystery, Thriller",18.45743,Se7en,8.1
"Adventure, Animation, Drama, Family",13.280069,Pocahontas,6.7
"Drama, Romance",3.302524,When night is falling,5.9
"Drama, Crime, Thriller",16.302466,The usual suspects,8.1
"Action, Thriller, Drama",0.595949,Guardian angel,6.3
"Comedy, Romance",15.899134,Mighty aphrodite,6.7
"Drama, Foreign",1.361286,Lamerica,7.7
"Action, Adventure, Comedy, Family",5.982764,The big green,5.2
Drama,4.093443,Georgia,6.1
,0.307075,Kids of the round table,3.0
"Comedy, Drama, Romance",8.416802,Home for the holidays,6.3
"Comedy, Drama, Romance",10.168437,The postman,7.6
"Thriller, Drama, Mystery",0.120789,The confessional,6.5
"Adventure, Family, Fantasy",10.673296,The indian in the cupboard,5.9
"Drama, Thriller",4.733526,Eye for an eye,5.8
"Music, Drama, Family",7.137117,Mr. holland's opus,6.9
Comedy,11.700115,Don't be a menace to south central while drinking your juice in the hood,6.2
"Comedy, Romance",2.174487,Two if by sea,4.5
Comedy,6.387469,Bio-dome,4.4
"Action, Science Fiction",2.49535,Lawnmower man 2: beyond cyberspace,2.8
"Drama, Family",4.046208,Two bits,5.4
"Comedy, Romance",2.518051,French twist,6.0
Comedy,14.56965,Friday,7.0
"Horror, Action, Thriller, Crime",15.339153,From dusk till dawn,6.9
"Action, Thriller, Romance",5.912223,Fair game,4.1
"Comedy, Drama, Romance",3.367276,Kicking and screaming,7.0
"Drama, History",1.479446,Les miserables,6.6
"Drama, Romance",10.412194,Bed of roses,5.1
"Comedy, Family",2.936443,Big bully,3.9
"Horror, Science Fiction",12.758848,Screamers,6.1
Documentary,0.133893,Nico icon,7.3
"Drama, Thriller",5.756462,The crossing guard,6.1
"Drama, Thriller",6.010579,The juror,5.5
"Family, Drama",1.196256,The white balloon,7.5
"Drama, Crime",4.486179,Things to do in denver when you're dead,6.7
"Drama, Comedy",2.030174,Antonia's line,7.2
"Romance, Drama",0.252287,Once upon a time... when we were colored,4.5
,0.531159,Last summer in the hamptons,0.0
"Drama, Romance",2.15166,Angels and insects,6.3
"Action, Drama",9.568604,White squall,6.3
"Adventure, Comedy, Family",4.814825,Dunston checks in,5.1
Comedy,8.963037,Black sheep,6.0
"Crime, Drama, Thriller",6.848591,Nick of time,6.1
Drama,0.411424,The journey of august king,6.7
"Drama, Horror, Thriller, Romance",12.866139,Mary reilly,5.7
"Comedy, Horror, Romance",9.071127,Vampire in brooklyn,4.5
"Comedy, Drama, Romance",4.670562,Beautiful girls,6.6
"Action, Adventure, Drama, Thriller",14.957626,Broken arrow,5.7
Comedy,0.513391,A midwinter's tale,7.5
Drama,12.108196,La haine,7.9
"Action, Adventure, Drama, Science Fiction, Thriller",2.657647,Shopping,5.6
Documentary,0.638211,Heidi fleiss: hollywood madam,6.8
"Drama, Thriller",4.807223,City hall,6.0
"Comedy, Crime, Drama",6.904831,Bottle rocket,6.8
"Comedy, Romance",3.329264,Mr. wrong,3.3
"Drama, Mystery, Science Fiction, Thriller",2.464425,Unforgettable,5.3
Comedy,9.592265,Happy gilmore,6.5
"Drama, Romance",5.951077,The bridges of madison county,7.3
"Drama, Comedy, Family",1.015068,Nobody loves me,5.1
"Action, Comedy, Music, Family, Adventure",6.902423,Muppet treasure island,6.5
Documentary,0.976707,Catwalk,7.0
Crime,0.001346,Headless body in topless bar,0.0
"Action, Drama, History, War",20.755149,Braveheart,7.7
"Crime, Drama",14.092713,Taxi driver,8.1
"Crime, Action, Comedy, Thriller",12.314278,Rumble in the bronx,6.5
"Drama, Thriller",2.938293,Before and after,5.8
Drama,0.372697,Margaret's museum,7.5
Comedy,1.254885,Happiness is in the field,7.0
"Documentary, Drama, Foreign",0.243986,Anne frank remembered,7.3
"Comedy, Crime, Drama",6.178497,The young poisoner's handbook,6.9
"Comedy, Romance",2.891918,If lucy fell,5.4
"Comedy, Drama",1.522412,Steal big steal little,5.1
"Action, Adventure, Comedy, Drama, Family",1.317878,Race the sun,5.2
Drama,0.86539,The boys of st. vincent,7.0
"Comedy, Romance",6.506983,Boomerang,5.4
"Drama, Comedy, Romance",6.778979,Chungking express,7.9
"Drama, Romance",1.702639,The star maker,6.8
"Comedy, Romance",5.579088,Flirting with disaster,6.3
Fantasy,6.252377,The neverending story iii: escape from fantasia,4.4
Drama,0.406754,The silences of the palace,4.3
,0.001178,Jupiter's wife,0.0
"Comedy, Romance",0.699066,Pie in the sky,7.0
"Comedy, Drama",2.197439,Angela,5.6
"Drama, Romance, War",0.637554,Frankie starlight,5.4
"Action, Thriller, Mystery, Romance",11.418917,Jade,5.1
"Comedy, Drama, Romance",0.291021,Nueba yol,5.5
"Music, Documentary",0.001838,Sonic outlaws,0.0
Comedy,5.184977,Down periscope,5.6
Documentary,0.276401,From the journals of jean seberg,6.5
Comedy,0.540436,Man of the year,3.8
Drama,0.370342,The neon bible,7.2
,0.001205,Target,0.0
"Drama, Romance",3.402749,Up close & personal,5.9
Comedy,6.49968,The birdcage,6.7
Drama,0.918504,Virgin mary,7.0
"Comedy, Drama, Romance",2.039196,The brothers mcmullen,6.3
"Action, Comedy, Crime, Thriller",9.262184,Bad boys,6.5
"Action, Adventure, Drama, Family",2.375865,The amazing panda adventure,5.0
"Drama, Crime",7.415144,The basketball diaries,7.2
"Romance, Drama, Comedy",0.922958,An awfully big adventure,6.0
"Crime, Comedy, Drama, Thriller",1.759012,Amateur,6.5
Drama,18.761467,Apollo 13,7.3
Adventure,10.193549,Rob roy,6.5
"Drama, Horror",3.137285,The addiction,6.4
"Action, Crime, Fantasy",13.321354,Batman forever,5.2
"Drama, Romance",10.142662,Belle de jour,7.3
"Drama, Thriller",2.04189,Beyond rangoon,6.4
Comedy,11.528147,Blue in the face,6.8
"Action, Comedy",5.391556,Canadian bacon,5.9
"Fantasy, Comedy, Family",12.812539,Casper,6.0
"Mystery, Crime, Drama",4.558992,Clockers,6.8
"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",7.260574,Congo,5.0
"Action, Thriller, Drama",8.657365,Crimson tide,7.0
Documentary,3.620388,Crumb,7.6
"Thriller, Action, Crime",6.950458,Desperado,6.8
"Drama, Mystery, Thriller",4.646132,Devil in a blue dress,6.3
"Action, Thriller",15.138855,Die hard: with a vengeance,6.9
"Action, Comedy, Crime, Drama",7.120806,The doom generation,5.6
"Drama, Crime",0.523575,Feast of july,0.0
"Action, Adventure, Drama, Romance",15.178338,First knight,5.9
Adventure,7.575098,Free willy 2 - the adventure home,5.5
"Action, Crime, Thriller, Drama",14.810519,Hackers,6.2
"Comedy, Drama, Romance",3.196456,Jeffrey,6.5
"Adventure, Action, Drama, Science Fiction, Thriller",11.715868,Johnny mnemonic,5.5
Science Fiction,8.184815,Judge dredd,5.4
"Comedy, Drama",3.676921,Jury duty,4.0
"Drama, Crime",4.877872,Kids,6.8
"Drama, Comedy",10.058329,Living in oblivion,7.2
"Mystery, Horror, Thriller",4.102409,Lord of illusions,5.9
"Comedy, Drama",0.354014,Love & human remains,7.0
"Drama, Family, Romance",2.624771,Mad love,5.5
"Romance, Comedy",8.25547,Mallrats,6.8
"Action, Adventure, Science Fiction, Family, Fantasy",7.024227,Mighty morphin power rangers: the movie,5.2
"Comedy, Drama, Romance",1.01115,Moonlight and valentino,5.6
"Thriller, Foreign",2.466066,Mute witness,6.4
"Horror, Thriller",7.720056,Nadja,5.9
"Crime, Drama, Mystery, Thriller, Action",13.304342,The net,5.6
Comedy,8.482834,Nine months,5.5
Comedy,1.165039,Party girl,5.8
"Fantasy, Horror, Thriller",10.187623,The prophecy,6.4
"Fantasy, Comedy, Drama",0.119713,Reckless,10.0
Drama,8.180047,Safe,7.2
"Drama, History, Romance",6.752119,The scarlet letter,5.5
Drama,17.502375,Showgirls,4.9
"Comedy, Drama",5.552946,Smoke,7.2
Comedy,3.743212,Something to talk about,5.7
"Science Fiction, Horror, Action",13.492845,Species,5.5
Drama,0.913522,The stars fell on henrietta,6.6
"Crime, Drama, Science Fiction, Thriller",11.223055,Strange days,6.8
"Drama, Romance",8.133881,The umbrellas of cherbourg,7.6
Thriller,1.820419,The tie that binds,4.6
"Drama, Fantasy",11.002046,Three wishes,6.1
"Drama, Romance",4.546552,Total eclipse,6.5
Comedy,7.653446,"To wong foo, thanks for everything! julie newmar",6.3
"Action, Thriller",7.490247,Under siege 2: dark territory,5.6
"Comedy, Drama, Family",2.881689,Unstrung heroes,6.4
Documentary,0.786023,Unzipped,6.0
"Drama, Romance",9.715639,A walk in the clouds,6.5
"Adventure, Action",16.885184,Waterworld,5.9
Drama,1.834099,White man's burden,5.1
"Action, Western",8.922139,Wild bill,5.9
Drama,3.727644,The browning version,6.0
"Adventure, Action, Comedy, Crime, Family",3.287036,Bushwhacked,4.9
Drama,2.486073,Burnt by the sun,6.7
"Drama, War",3.525649,Before the rain,7.7
"Drama, Romance",11.304979,Before sunrise,7.7
Comedy,6.638116,Billy madison,6.2
"Drama, Thriller",2.761837,The babysitter,4.7
"Comedy, Drama",3.030309,Boys on the side,6.3
"Drama, Family",2.686342,The cure,7.2
"Thriller, Drama, Horror, Mystery",2.26977,Castle freak,5.8
"Drama, Family, Romance",2.605521,Circle of friends,6.5
Comedy,10.513367,Clerks,7.4
"Romance, Drama, Comedy",7.438934,Don juan demarco,6.3
"Drama, Thriller, Crime, Mystery, Romance",11.812244,Disclosure,5.9
Thriller,0.155859,Dream man,2.5
"Action, Adventure, Thriller",9.579155,Drop zone,5.1
"Crime, Comedy, Fantasy",0.710671,Destiny turns on the radio,5.3
"Drama, Thriller, Mystery",5.484156,Death and the maiden,7.1
"Crime, Drama, Mystery",5.8025,Dolores claiborne,7.1
Comedy,9.844558,Dumb and dumber,6.5
"Comedy, Drama, Romance",4.860016,Eat drink man woman,7.5
"Drama, Mystery",5.378467,Exotica,6.5
"Thriller, Comedy, Crime, Romance",4.322726,Exit to eden,4.3
"Comedy, Drama, History",11.720358,Ed wood,7.3
"Comedy, Romance",9.146544,French kiss,6.2
"Comedy, Drama, Romance",16.236745,Forget paris,6.1
"Action, Adventure, Drama, Family",2.657337,Far from home: the adventures of yellow dog,5.6
"Romance, Animation, Family, Comedy, Adventure",10.177977,A goofy movie,6.7
"Drama, Thriller",8.182165,Hideaway,5.0
"Drama, Family, Fantasy",4.953936,Fluke,6.6
"History, Drama",8.935058,Farinelli,5.9
"Drama, Family, Fantasy",0.398924,Gordy,3.0
"Fantasy, Animation, Science Fiction, Family",0.090452,Gumby: the movie,5.0
"Drama, Action, Thriller, Crime",1.012197,The glass shield,5.4
Documentary,9.47666,Hoop dreams,7.7
"Drama, Fantasy",9.438042,Heavenly creatures,6.9
"Comedy, Family",2.688562,Houseguest,6.0
"Drama, Music, Romance",7.983666,Immortal beloved,6.9
"Comedy, Family, Drama",9.546707,Heavyweights,6.0
"Action, Thriller",2.756986,The hunted,6.0
"Comedy, Drama, Romance",5.146352,I.q.,5.9
"Horror, Romance",11.970205,Interview with the vampire,7.2
"Drama, Romance",1.596058,Jefferson in paris,5.2
"Comedy, Crime",0.748846,The jerky boys,4.8
"Comedy, Family, Romance",6.710215,Junior,4.7
"Action, Drama, Mystery, Thriller",9.195256,Just cause,6.0
"Adventure, Fantasy, Comedy, Science Fiction, Family",5.874511,A kid in king arthur's court,4.3
"Action, Crime, Drama, Thriller",7.797512,Kiss of death,5.7
"Adventure, Action, Science Fiction",42.149697,Star wars,8.1
"Drama, Romance",9.774994,Little women,7.0
"Drama, Family, Fantasy",7.731725,A little princess,7.4
Drama,0.84508,Ladybird ladybird,7.4
"Crime, Drama",1.948315,L'enfer,6.6
"Drama, Romance",4.126083,Like water for chocolate,6.6
"Adventure, Drama, Romance, War",12.199047,Legends of the fall,7.2
"Adventure, Comedy, Family",9.253362,Major payne,6.1
"Action, Drama",1.861292,Little odessa,6.4
"Crime, Drama",1.788829,Mi vida loca,5.7
"Drama, Romance",3.290192,Love affair,4.3
Drama,7.698526,Losing isaiah,6.4
"Comedy, Drama, History",4.81307,The madness of king george,6.7
"Drama, Horror, Science Fiction, Romance",14.287753,Mary shelley's frankenstein,6.1
"Action, Comedy, Family",2.558118,Man of the house,5.1
"Comedy, Drama, Romance",2.899608,Mixed nuts,5.2
"Comedy, Romance",3.770115,Milk money,5.6
"Fantasy, Drama, Family",5.831622,Miracle on 34th street,6.4
"Comedy, Romance",1.137266,Miami rhapsody,5.6
"Comedy, Drama",3.121288,My family,7.0
"Crime, Drama",9.518564,Murder in the first,6.9
"Drama, Comedy",2.891269,Nobody's fool,7.0
"Drama, Thriller",5.930957,Nell,6.1
"Crime, Drama",0.629955,New jersey drive,6.9
"Action, Thriller, Crime, Drama",0.004537,New york cop,0.0
Horror,0.426952,Beyond bedlam,4.0
"Science Fiction, Action, Thriller",1.466491,Nemesis 2 - nebula,4.6
"Drama, Romance",0.769522,Nina takes a lover,7.4
"Crime, Thriller, Drama",11.226856,Natural born killers,6.9
"Comedy, Drama, Romance",4.936761,Only you,6.4
Drama,4.025276,Once were warriors,7.6
"Drama, Romance, Thriller",6.448039,Poison ivy ii: lily,4.6
"Action, Drama, Science Fiction, Thriller",13.676444,Outbreak,6.4
"Thriller, Crime, Drama",20.477329,Leon: the professional,8.2
"Comedy, Drama, Romance",1.433544,The perez family,6.6
"Comedy, Drama, Romance",0.463307,A pyromaniac's love story,7.0
"Thriller, Crime",140.950236,Pulp fiction,8.3
Drama,7.160149,Panther,6.4
"Comedy, Drama",1.638622,Pushing hands,6.1
"Drama, Romance",1.881932,Priest,6.4
"History, Drama",7.772505,Quiz show,7.1
"Drama, History",1.296912,Picture bride,7.4
"Drama, History",4.405405,Queen margot,7.0
"Action, Western",7.54701,The quick and the dead,6.2
"Drama, Comedy",3.395867,Roommates,6.4
"Drama, Comedy",6.259433,Prêt-à-porter,5.3
"Drama, Mystery, Romance",7.832755,Three colors: red,7.8
"Drama, Music, Mystery",8.843517,Three colors: blue,7.7
"Comedy, Drama, Mystery",6.5898,Three colors: white,7.3
Drama,0.078257,"Red firecracker, green firecracker",7.0
"Comedy, Family, TV Movie",1.155255,Rent-a-kid,5.1
"Horror, Drama",0.499601,Relative fear,4.7
"Comedy, Drama",1.390885,Stuart saves his family,5.0
Animation,8.910462,The swan princess,6.5
"Drama, Family, Fantasy",1.750481,The secret of roan inish,6.1
"Action, Thriller",10.388183,The specialist,5.5
"Action, Adventure, Science Fiction",13.328924,Stargate,6.8
"Fantasy, Drama, Comedy, Family",9.665424,The santa clause,6.3
"Drama, Crime",51.645403,The shawshank redemption,8.5
"Crime, Thriller",8.223026,Shallow grave,7.0
"Drama, Thriller",1.298224,Suture,6.0
"Comedy, Drama",1.777197,Strawberry and chocolate,7.1
"Crime, Comedy",5.869261,Swimming with sharks,6.7
"Comedy, Drama, Romance",1.407427,The sum of us,6.0
Comedy,5.05806,Senior trip,5.7
"Drama, Romance, War",5.260627,To live,7.7
"Action, Comedy, Fantasy, Science Fiction",7.602087,Tank girl,5.5
"Horror, Comedy, Thriller",9.455342,Tales from the crypt: demon knight,6.7
"Science Fiction, Action, Adventure, Thriller",8.105708,Star trek: generations,6.4
"Crime, Horror, Thriller",2.86007,Tales from the hood,5.4
"Drama, Romance",0.704204,Tom & viv,5.8
"Thriller, Horror, Science Fiction",6.529879,Village of the damned,5.6
Comedy,11.971318,Tommy boy,6.8
"Drama, Romance",7.039846,Vanya on 42nd street,6.1
"Thriller, Crime",2.059771,The underneath,5.6
"Drama, War",0.620873,The walking dead,6.6
"Romance, Drama",10.3919,What's eating gilbert grape,7.5
"Action, Crime, Science Fiction, Thriller",5.188399,Virtuosity,5.4
"Comedy, Drama, Romance",15.783615,While you were sleeping,6.5
Drama,3.908596,The war,6.3
"Comedy, Romance",0.372239,Double happiness,5.5
"Drama, Comedy, Romance",5.254847,Muriel's wedding,6.9
"Comedy, Drama, Family",2.15805,The baby-sitters club,5.3
"Comedy, Mystery",11.247957,Ace ventura: pet detective,6.4
"Drama, Comedy",8.328596,"The adventures of priscilla, queen of the desert",7.2
"Drama, Music",2.487951,Backbeat,6.2
"Thriller, Drama, Romance",11.298195,Bitter moon,7.0
"Action, Comedy, Thriller",5.72288,Bullets over broadway,7.0
"Action, Drama, Thriller",7.513245,Clear and present danger,6.4
"Drama, Thriller, Crime, Mystery",15.263829,The client,6.4
"Comedy, Drama, Family, Romance",6.924689,"Corrina, corrina",6.4
"Comedy, Drama",2.533022,Crooklyn,6.7
"Fantasy, Action, Thriller",15.799336,The crow,7.3
Drama,2.583363,Cobb,6.1
"Fantasy, Comedy, Family",15.019586,The flintstones,5.0
"Comedy, Drama, Romance",48.307194,Forrest gump,8.2
"Comedy, Drama, Romance",8.990345,Four weddings and a funeral,6.6
"Romance, Drama, Crime",7.817811,Higher learning,6.4
"Comedy, Drama, Romance",0.289295,I like it like that,6.3
"Action, Comedy, Romance",3.570874,I love trouble,5.3
"Comedy, Drama, Romance",11.272073,It could happen to you,6.1
"Adventure, Drama, Family",10.714235,The jungle book,5.9
"Documentary, Foreign",0.568884,"The wonderful, horrible life of leni riefenstahl",7.3
"Family, Animation, Drama",21.605761,The lion king,8.0
"Drama, History",5.681522,Little buddha,6.0
"Horror, Thriller, Mystery, Fantasy",9.860522,New nightmare,6.4
"Romance, Comedy, Crime, Fantasy",14.13488,The mask,6.6
"Action, Adventure, Comedy, Drama, Western",15.050326,Maverick,6.6
Drama,4.739054,Mrs. parker and the vicious circle,6.3
"Comedy, Crime",10.587232,The naked gun 33⅓: the final insult,6.4
"Comedy, Drama",4.006063,The paper,6.1
Drama,6.514592,Reality bites,6.5
"Crime, Drama, Thriller",5.137903,Red rock west,6.4
"Comedy, Family",6.595255,Ri¢hie ri¢h,5.4
Drama,4.931565,Safe passage,4.9
"Action, Adventure, Crime, Thriller",10.511241,The river wild,6.1
"Action, Adventure, Crime",10.859292,Speed,6.8
"Comedy, Romance",2.334226,Speechless,5.5
"Thriller, Science Fiction, Action, Crime",8.907074,Timecop,5.5
"Action, Thriller",11.396099,True lies,6.8
"Drama, Romance",4.322544,When a man loves a woman,6.0
Fantasy,14.063845,Wolf,6.0
"Drama, Action, Western",9.277147,Wyatt earp,6.5
"Action, Crime, Romance, Thriller",0.912415,Bad company,4.9
"Comedy, Drama",0.406113,A man of no importance,6.5
"Comedy, Drama",2.504529,S.f.w.,6.1
"Action, Comedy, Crime",3.021526,A low down dirty shame,6.0
Drama,0.054148,"Boys life: three stories of love, lust, and liberation",2.0
Drama,0.934312,Colonel chabert,5.9
"Action, Crime",4.220541,"Faster, pussycat! kill! kill!",6.5
"Crime, Drama, Romance",0.912909,Jason's lyric,5.9
"Animation, Science Fiction",0.381704,The secret adventures of tom thumb,7.1
"Action, Adventure, Thriller",13.58449,Street fighter,4.1
"Action, Comedy",2.342756,Coldblooded,6.7
,0.251223,Desert winds,0.0
"Action, Adventure, Crime, Drama, Thriller",1.108494,Fall time,6.3
"Horror, Thriller",0.268043,The fear,3.4
Documentary,0.142357,Frank and ollie,7.5
"Romance, Adventure, Crime, Drama",0.405392,Girl in the cadillac,10.0
"Thriller, Drama",0.014925,Homage,0.0
"Action, Thriller",0.302957,Mirage,4.0
Comedy,0.012456,Open season,0.0
,0.233376,Dos crímenes,5.0
Documentary,0.0368,Brother minister: the assassination of malcolm x,4.0
"Action, Fantasy, Science Fiction",6.866634,Highlander: the final dimension,4.5
,0.100685,Federal hill,5.0
"Horror, Mystery, Thriller",8.497643,In the mouth of madness,7.1
"Drama, Romance",1.888534,8 seconds,7.2
"Crime, Drama",4.38154,Above the rim,6.7
"Comedy, Family, Fantasy",17.555909,Addams family values,6.5
Comedy,0.394194,Martin lawrence: you so crazy,4.5
"Drama, Romance",8.013617,The age of innocence,7.0
"Comedy, Crime, Music",7.09232,Airheads,5.8
"Comedy, Family",1.896273,The air up there,5.1
"Action, Comedy",12.967239,Another stakeout,4.9
"Action, Adventure, Comedy, Drama, Western",14.644772,Bad girls,4.6
"Comedy, Drama, Romance",1.632711,Barcelona,6.6
"Drama, Comedy, Fantasy",2.783872,Being human,5.0
Comedy,5.673735,The beverly hillbillies,5.0
"Action, Comedy, Crime",11.787784,Beverly hills cop iii,5.5
"Action, Adventure, Drama, Family",8.398845,Black beauty,6.6
"Mystery, Crime, Drama, Thriller",3.00282,Blink,6.3
"Drama, Action, Thriller",13.155071,Blown away,6.0
Drama,6.131056,Blue chips,5.7
"Drama, Romance",4.993829,Blue sky,6.1
"Horror, Science Fiction, Thriller",6.559693,Body snatchers,5.8
"Drama, Romance",4.304224,Boxing helena,4.5
"Drama, Crime",6.115628,A bronx tale,7.4
Comedy,1.679042,Cabin boy,4.9
"Drama, Comedy",1.316741,Calendar girl,3.7
"Action, Crime, Drama, Thriller",8.698509,Carlito's way,7.7
"Action, Comedy, Drama, Western",8.605703,City slickers ii: the legend of curly's gold,4.9
"Comedy, Thriller, Mystery",2.724621,Clean slate,5.7
"Action, Adventure, Thriller",9.830853,Cliffhanger,6.1
"Comedy, Science Fiction, Family",10.722729,Coneheads,4.8
"Drama, Mystery, Romance, Thriller",14.228963,Color of night,5.4
"Action, Comedy, Family",7.042878,Cops & robbersons,5.0
"Western, Action, Comedy",4.286279,The cowboy way,5.1
Drama,2.70097,Dangerous game,5.4
Comedy,13.696394,Dave,6.3
"Comedy, Drama",6.8652,Dazed and confused,7.4
"Crime, Action, Science Fiction",11.626116,Demolition man,6.4
Documentary,0.408159,The endless summer 2,7.1
"Western, Drama, Comedy, Romance",2.970724,Even cowgirls get the blues,4.2
Comedy,3.555139,Fatal instinct,5.4
Drama,4.875827,Farewell my concubine,7.8
"Drama, Comedy, Romance",1.344876,The favor,3.3
Drama,9.284624,Fearless,6.8
Comedy,0.985441,Fear of a black hat,5.8
"Comedy, Drama",2.969003,With honors,6.1
"Drama, Mystery, Romance",1.896869,Flesh and bone,6.2
"Comedy, Thriller, Mystery, Romance, Foreign",0.409427,Widows' peak,4.3
"Comedy, Romance",8.468869,For love or money,5.7
"Drama, Mystery, Thriller",9.678367,The firm,6.6
"Family, Adventure",5.990572,Free willy,6.0
"Crime, Drama, Thriller",3.970215,Fresh,7.6
"Adventure, Action, Thriller, Crime, Mystery",10.08937,The fugitive,7.2
"History, Action, Drama, Western",4.653462,Geronimo: an american legend,5.9
"Drama, Action, Thriller",14.214403,The getaway,5.4
"Family, Comedy, Crime",2.410545,Getting even with dad,4.5
"Drama, Romance",0.775898,Go fish,3.9
"Comedy, Drama",5.22583,A good man in africa,5.2
"Drama, Thriller",5.385108,Guilty as sin,5.6
"Action, Adventure, Crime, Thriller",7.834351,Hard target,6.1
"History, War, Action, Drama",4.190541,Heaven & earth,6.4
"Action, Comedy, War",13.482371,Hot shots! part deux,6.2
Comedy,2.138959,Live nude girls,4.7
"Drama, Comedy, Romance",5.331753,The englishman who went up a hill but came down a mountain,6.1
"Romance, Drama",10.687795,The house of the spirits,6.7
Comedy,0.996047,House party 3,4.6
"Comedy, Drama",7.550545,The hudsucker proxy,7.1
"Comedy, Drama",1.742974,I'll do anything,5.7
Comedy,6.071466,In the army now,4.7
"Action, Drama, Thriller, Crime, Mystery",12.637158,In the line of fire,6.8
Drama,7.405895,In the name of the father,7.6
"Comedy, Drama, Romance",0.613335,The inkwell,3.9
"Drama, Music",14.820883,What's love got to do with it,6.9
Comedy,4.563989,Jimmy hollywood,4.6
"Action, Thriller, Crime",5.538671,Judgment night,6.4
"Adventure, Science Fiction",8.863776,Jurassic park,7.6
"Thriller, Crime",8.4337,Kalifornia,6.5
"Action, Crime, Drama, Thriller",4.948569,Killing zoe,6.1
Drama,4.375347,King of the hill,6.4
"Action, Adventure, Drama, Family",3.645342,Lassie,6.1
"Adventure, Fantasy, Action, Comedy, Family",9.434006,Last action hero,6.1
"Comedy, Family",6.446229,Life with mikey,5.1
"Action, Comedy, Western",2.913584,Lightning jack,5.7
"Drama, Romance",6.516976,M. butterfly,6.6
Comedy,5.43085,Made in america,5.3
"Drama, Crime",9.861672,Malice,5.9
Drama,5.997712,The man without a face,6.2
"Comedy, Mystery",8.939404,Manhattan murder mystery,7.1
"Drama, Action, Crime",5.260924,Menace ii society,7.2
"Action, Adventure, Drama, Thriller",13.106291,Executive decision,5.8
"Drama, Romance",8.932494,In the realm of the senses,6.5
"Thriller, Comedy, Drama, Romance",0.534606,What happened was...,7.0
"Drama, Comedy, Romance",8.62724,Much ado about nothing,7.2
"Drama, Romance",6.579753,Mr. jones,5.9
"Comedy, Romance",13.011091,Mr. wonderful,5.5
"Comedy, Drama, Family",11.16553,Mrs. doubtfire,7.0
"Comedy, Drama",8.665198,Naked,7.5
Adventure,9.9697,The next karate kid,4.8
"Comedy, Drama",0.596207,The new age,4.8
"Action, Drama, Science Fiction, Thriller",9.715187,No escape,6.1
"Comedy, Drama, Family, Fantasy, Science Fiction",15.534707,North,4.8
"Romance, Drama, Fantasy",3.800785,Orlando,6.7
"Crime, Drama, Thriller",8.040589,A perfect world,7.2
Drama,13.373006,Philadelphia,7.6
"Drama, Romance",7.436758,The piano,7.1
"Drama, Romance",6.972599,Poetic justice,6.9
Drama,3.199976,The program,6.0
"Horror, Science Fiction, Thriller",7.272296,The puppet masters,5.6
